datetime_utc,et_seconds,station_id,station_name,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km,stat_earth_x_km,stat_earth_y_km,stat_earth_z_km,earth_sun_x_km,earth_sun_y_km,earth_sun_z_km
1997-09-20 14:45:30,-71961206.81760567,65,DSS-65,32366.575868166638,22941.35343449233,-40190.40663321088,0.16718242645197012,-0.14356748261738395,0.24126153295135155,-2160453.2035473525,-198048056.55165043,-90779550.87550737,-3900.5427156760948,-2905.178117238254,4113.743192040597,150091748.36827257,-5509471.715917856,-2388102.0867955154
1997-09-20 14:46:30,-71961146.81760569,65,DSS-65,32376.59295541612,22932.729565025587,-40175.91373640252,0.16672042509276902,-0.14389483589995627,0.24183503397050327,-2158944.4780482384,-198047941.3155619,-90779538.81775926,-3887.795243335913,-2922.2120704153294,4113.7453957637945,150091791.2424044,-5507839.794745977,-2387394.50725451
1997-09-20 14:46:30,-71961146.81760569,65,DSS-65,32376.59295541612,22932.729565025587,-40175.91373640252,0.16672042509276902,-0.14389483589995627,0.24183503397050327,-2158944.4780482384,-198047941.3155619,-90779538.81775926,-3887.795243335913,-2922.2120704153294,4113.7453957637945,150091791.2424044,-5507839.794745977,-2387394.50725451
1997-09-20 14:47:30,-71961086.81760569,65,DSS-65,32386.582312343868,22924.086053835563,-40161.386428347454,0.16625808216291837,-0.14422220672810251,0.2424085745175601,-2157435.752448699,-198047826.07032403,-90779526.75581741,-3874.973365119981,-2939.190087115976,4113.747618797746,150091834.09546,-5506207.872702364,-2386686.927346969
1997-09-20 14:47:30,-71961086.81760569,65,DSS-65,32386.582312343868,22924.086053835563,-40161.386428347454,0.16625808216291837,-0.14422220672810251,0.2424085745175601,-2157435.752448699,-198047826.07032403,-90779526.75581741,-3874.973365119981,-2939.190087115976,4113.747618797746,150091834.09546,-5506207.872702364,-2386686.927346969
1997-09-20 14:48:30,-71961026.81760569,65,DSS-65,32396.543918426447,22915.422899858564,-40146.8247066544,0.16579539677186064,-0.14454959553883684,0.24298215536570889,-2155927.0267491704,-198047710.81593695,-90779514.68968183,-3862.0773264799923,-2956.111842326673,4113.749861099891,150091876.92743933,-5504575.949787641,-2385979.347073164
1997-09-20 14:48:30,-71961026.81760569,65,DSS-65,32396.543918426447,22915.422899858564,-40146.8247066544,0.16579539677186064,-0.14454959553883684,0.24298215536570889,-2155927.0267491704,-198047710.81593695,-90779514.68968183,-3862.0773264799923,-2956.111842326673,4113.749861099891,150091876.92743933,-5504575.949787641,-2385979.347073164
1997-09-20 14:49:30,-71960966.8176057,65,DSS-65,32406.477753086943,22906.740102004664,-40132.2285688857,0.16533236802658857,-0.14487700276940454,0.24355577728859956,-2154418.300950092,-198047595.55240062,-90779502.61935247,-3849.1073742873655,-2972.9770121109686,4113.752122627294,150091919.73834237,-5502944.026002431,-2385271.7664333656
1997-09-20 14:49:30,-71960966.8176057,65,DSS-65,32406.477753086943,22906.740102004664,-40132.2285688857,0.16533236802658857,-0.14487700276940454,0.24355577728859956,-2154418.300950092,-198047595.55240062,-90779502.61935247,-3849.1073742873655,-2972.9770121109686,4113.752122627294,150091919.73834237,-5502944.026002431,-2385271.7664333656
1997-09-20 14:50:30,-71960906.8176057,65,DSS-65,32416.38379570217,22898.03765915124,-40117.598012546405,0.16486899503128977,-0.14520442885752943,0.24412944106077816,-2152909.5750507964,-198047480.27971503,-90779490.54482935,-3836.0637568187676,-2989.7852736281807,4113.754403336659,150091962.52816907,-5501312.101346144,-2384564.185427319
1997-09-20 14:50:30,-71960906.8176057,65,DSS-65,32416.38379570217,22898.03765915124,-40117.598012546405,0.16486899503128977,-0.14520442885752943,0.24412944106077816,-2152909.5750507964,-198047480.27971503,-90779490.54482935,-3836.0637568187676,-2989.7852736281807,4113.754403336659,150091962.52816907,-5501312.101346144,-2384564.185427319
1997-09-20 14:51:30,-71960846.8176057,65,DSS-65,32426.26202558774,22889.315570155857,-40102.93303510593,0.16440527688802664,-0.14553187424092903,0.2447031474568383,-2151400.8490517135,-198047364.9978801,-90779478.46611245,-3822.9467237706945,-3006.5363051144427,4113.75670318432,150092005.29691947,-5499680.175819402,-2383856.6040552948
1997-09-20 14:51:30,-71960846.8176057,65,DSS-65,32426.26202558774,22889.315570155857,-40102.93303510593,0.16440527688802664,-0.14553187424092903,0.2447031474568383,-2151400.8490517135,-198047364.9978801,-90779478.46611245,-3822.9467237706945,-3006.5363051144427,4113.75670318432,150092005.29691947,-5499680.175819402,-2383856.6040552948
1997-09-20 14:52:30,-71960786.81760572,65,DSS-65,32436.112422005324,22880.573833849834,-40088.233633987256,0.16394121269638198,-0.14585933935756196,0.24527689725185425,-2149892.1229532966,-198047249.70689598,-90779466.38320176,-3809.7565262451,-3023.2297859015016,4113.759022126242,150092048.04459333,-5498048.249422831,-2383149.0223175636
1997-09-20 14:52:30,-71960786.81760572,65,DSS-65,32436.112422005324,22880.573833849834,-40088.233633987256,0.16394121269638198,-0.14585933935756196,0.24527689725185425,-2149892.1229532966,-198047249.70689598,-90779466.38320176,-3809.7565262451,-3023.2297859015016,4113.759022126242,150092048.04459333,-5498048.249422831,-2383149.0223175636
1997-09-20 14:53:30,-71960726.81760572,65,DSS-65,32445.934964169828,22871.812449031684,-40073.49980655586,0.16347680155310254,-0.1461868246458751,0.24585069122181424,-2148383.3967548716,-198047134.40676248,-90779454.2960973,-3796.4934167346883,-3039.865396435221,4113.7613601180265,150092090.77119085,-5496416.322155837,-2382441.4402138707
1997-09-20 14:53:30,-71960726.81760572,65,DSS-65,32445.934964169828,22871.812449031684,-40073.49980655586,0.16347680155310254,-0.1461868246458751,0.24585069122181424,-2148383.3967548716,-198047134.40676248,-90779454.2960973,-3796.4934167346883,-3039.865396435221,4113.7613601180265,150092090.77119085,-5496416.322155837,-2382441.4402138707
1997-09-20 14:54:30,-71960666.81760572,65,DSS-65,32455.729631234557,22863.031414480127,-40058.731550141616,0.1630120425527806,-0.1465143305443191,0.24642453014277166,-2146874.6704568667,-198047019.0974797,-90779442.20479904,-3783.1576491377336,-3056.442818256831,4113.763717114913,150092133.47671184,-5494784.394019045,-2381733.8577444875
